unique_breed,matching_breed
Cavalier King Charles Spaniel/cocker mix,tier_1
Coonhound/Doberman mix,tier_2
Boxer/Pit Mix,tier_4
American Bulldog mix,tier_2
Catahoula Mix/,tier_1
Yorkie Blck/Tan,tier_1
Soft Coated Wheaten Terrier,tier_2
Walker Hound Mix,tier_1
Shih Tzu mix,tier_1
Hound Mix/brown & white,tier_1
Australian Shepherd/border collie,tier_3
Labrador Retriever Black,tier_4
Boxer Boston Mix,tier_2
Basset Hound,tier_2
Pit bull terrier,tier_4
puggle,tier_1
Bichon Frise White,tier_1
Staffordshire Pit mix,tier_1
Lab/Terrier Mix,tier_4
Siamese Mix,tier_1
Brittany Spaniel,tier_1
Australian Shepherd mix,tier_3
Mix/Black&White,tier_1
Bearded Collie,tier_3
Finnish Spitz,tier_1
Hound/pit mix,tier_1
lab/shep mix,tier_3
catahoula mix,tier_1
Golden/Lab Mix,tier_4
Chihuahua/Beagle Mix,tier_2
Lab/Shepard Mix,tier_4
Dachshound Wirehaired,None
Dachshound,None
Jack Russell Terrier Mix Wht/Blck,tier_2
pointer/terrier mix,tier_2
Dachshund/Terrier Mix,tier_2
Mini Aussie,tier_3
Maltese/shi tzu,tier_1
Basset Hound Mix,tier_2
Ptti Bull,tier_1
mountain curr terrier mix,tier_1
minpin/italian greyhound,tier_1
Siamese,tier_1
Lab Mix Blck,tier_4
Whippet/lab mix,tier_2
Shiba Inu/Pomeranian,tier_2
English Bull/Lab Mix,tier_2
English Pointer,tier_2
Mini Australian Shephard Mix,tier_3
Pointer/pit mix,tier_2
Hound MIx Grayish Blck,tier_1
Chihuahua/ shitzu mix,tier_1
chihuahua/terrier mix,tier_2
Pug,tier_1
French Bulldog/ Bosten Mix,tier_1
Minature Poodle,tier_3
Pit Mix Tan,tier_4
Lab/Shepherd mix,tier_1
yorkie beagle mix,tier_2
Pomsky,tier_1
pit/bulldog,tier_2
Peek-A-Poo,tier_1
Teacup Yorkie,tier_1
Lab/dacshund mix,tier_4
Labrador Retriever/hound mix,tier_4
Australian Lab mix Blck,tier_3
Chi/Pin Mix,tier_1
Rhodesian Ridgeback/Lab,tier_2
Vizsla Mix,tier_1
Retriever/Hound Mix,tier_4
Dachshund Long Hair,tier_2
Maine Coon,tier_1
mixed,tier_1
Collie/Lab,tier_3
Pitt Mix Tan,tier_1
American Staffordshire Terrier/ Shar Pei mix,tier_1
Toy Australian Shepherd,tier_3
Schnauzer/Poodle Mix,tier_1
Cocker Spaniel Party,tier_1
Golden Retriever/lab mix,tier_4
Alaskan Malamute,tier_2
Bichon Frise/Cocker Mix,tier_1
Husky/Lab Mix,tier_4
dach/retriever mix,tier_4
Whippet mix,tier_2
Keeshond,None
Havanese/Poodle Mix,tier_3
Toy Fox Terrier,tier_2
